0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng
AMU|AMU|Аманаб|Аманаб|Amanab|Amanab|Аманаб|Аманаб|Amanab|Amanab
AMV|AMV|Амдерма|Амдерма|Amderma|Amderma|Амдерма|Амдерма|Amderma|Amderma
AMW|AMW|Амес|Амес|Ames|Ames|||Ames|Ames
AMX|AMX|||Ammaroo|Ammaroo|||Ammaroo|Ammaroo
AMY|AMY|Амбатомаинти|Амбатомаинти|Ambatomainty|Ambatomainty|Амбатомаинти|Амбатомаинти|Ambatomainty|Ambatomainty
AMZ|AMZ|Ардмор|Ардмор|Ardmore|Ardmore|Ардмор|Ардмор|Ardmore|Ardmore
ANA|ANA|||Orange County Steel Salvage Heliport|Orange County Steel Salvage Heliport|Анахайм|Анахайм|Anaheim|Anaheim
ANB|ANB|||Anniston Metropolitan|Anniston Metropolitan|||Anniston|Anniston
ANC|ANC|||Ted Stevens Anchorage International Airport|Ted Stevens Anchorage International Airport|Анкораж|Анкораж|Anchorage|Anchorage
AND|AND|Андерсон|Андерсон|Anderson|Anderson|||Anderson|Anderson
ANE|ANE|||Marce|Marce|Анжер|Анжер|Angers|Angers
ANF|ANF|||Cerro Moreno|Cerro Moreno|Антофагаста|Антофагаста|Antofagasta|Antofagasta
ANG|ANG|||Brie-Champniers|Brie-Champniers|Ангулем|Ангулем|Angouleme|Angouleme
ANH|ANH|||Anuha Island Resort|Anuha Island Resort|||Anuha Island Resort|Anuha Island Resort
ANI|ANI|||Aniak|Aniak|||Aniak|Aniak
